pressure_PS1_bar,pressure_PS2_bar,pressure_PS3_bar,pressure_PS4_bar,pressure_PS5_bar,pressure_PS6_bar,motor_power_EPS1_W,flow_FS1_l_min,flow_FS2_l_min,temp_TS1_C,temp_TS2_C,temp_TS3_C,temp_TS4_C,vibration_VS1,efficiency_SE,cooling_eff_CE,cooling_pwr_CP,fault
154.68,4.89,5.11,4.95,4.89,7.87,2089.3,8.32,8.4,35.74,39.58,37.27,29.59,0.5249,0.857,99.72,1.486,0
158.2,5.01,5.03,5.18,5.11,8.49,2022.0,8.65,8.66,34.69,40.23,38.31,29.66,0.5331,0.8693,99.54,1.471,0
156.97,5.08,5.03,5.05,5.07,7.38,2123.4,8.56,8.61,35.22,40.7,37.98,30.3,0.5391,0.8502,100.63,1.568,0
153.33,5.02,5.11,5.15,5.0,7.86,2158.2,8.63,8.71,35.61,39.52,37.87,30.17,0.5293,0.8688,99.61,1.525,0
154.63,5.0,5.13,5.05,4.97,7.63,2186.4,8.27,8.58,35.5,38.91,38.29,29.63,0.5434,0.8528,99.32,1.5,0
153.28,5.08,4.91,4.93,4.89,7.96,2076.9,8.07,8.32,33.89,40.07,37.7,30.11,0.5124,0.8627,99.6,1.491,0
153.48,4.98,5.02,4.96,4.88,8.5,2088.9,8.47,8.03,34.41,39.13,37.38,29.95,0.4981,0.86,100.24,1.528,0
151.98,5.06,5.01,4.96,4.82,8.32,2088.3,8.87,8.5,34.94,40.25,37.08,30.34,0.4979,0.8599,99.25,1.484,0
158.5,5.03,5.03,5.11,4.85,8.23,2115.7,8.06,8.21,34.96,40.31,38.42,30.08,0.5275,0.8508,101.26,1.472,0
159.26,5.17,5.1,4.95,5.04,7.96,2135.9,8.17,8.62,34.67,39.83,38.5,29.97,0.5253,0.8545,100.31,1.576,0
155.14,4.99,4.94,5.03,4.85,7.23,2158.6,8.41,8.43,34.39,39.04,38.23,30.33,0.5123,0.8538,100.2,1.434,0
151.32,4.98,5.11,4.94,5.0,8.2,2087.2,8.52,8.67,34.42,40.75,38.44,30.49,0.5007,0.8575,97.86,1.37,0
154.29,4.98,4.92,4.8,4.96,7.75,2109.1,8.56,8.58,34.98,40.49,37.82,29.7,0.5036,0.8449,101.3,1.46,0
154.18,4.94,4.97,5.03,4.94,7.7,2096.9,8.29,8.44,35.04,39.77,38.18,30.07,0.4996,0.8661,98.07,1.514,0
156.12,5.05,4.9,5.13,4.82,7.96,2149.3,8.41,8.38,35.73,40.06,38.1,30.28,0.5165,0.8603,99.19,1.454,0
155.95,5.02,4.78,4.76,4.97,8.23,2138.5,8.65,8.49,34.77,39.12,38.74,29.73,0.5322,0.8542,101.39,1.509,0
151.59,5.02,4.98,5.02,4.95,8.21,2086.9,8.39,8.35,34.8,39.76,39.13,30.32,0.5081,0.873,99.58,1.479,0
152.38,5.09,4.94,5.12,4.95,7.61,2059.9,8.44,8.38,35.09,40.24,37.9,30.23,0.5376,0.8621,99.28,1.451,0
155.85,5.03,5.01,5.02,5.21,8.15,2064.5,8.45,8.25,34.91,40.0,37.96,29.98,0.5056,0.8757,101.1,1.532,0
155.01,4.94,4.84,5.19,4.88,7.83,2114.7,8.32,8.43,34.92,40.3,38.08,30.1,0.5172,0.8588,99.71,1.497,0
154.06,4.83,4.94,5.35,4.96,8.3,2057.9,8.47,8.66,34.76,40.0,38.19,29.74,0.5407,0.8578,99.78,1.541,0
155.96,4.96,4.84,5.02,5.02,8.39,2156.9,8.42,8.2,34.86,39.77,37.94,30.34,0.5148,0.8544,100.95,1.513,0
157.13,4.97,4.93,5.03,4.91,7.92,2147.4,8.24,8.59,34.81,39.69,37.76,30.06,0.4993,0.8801,100.2,1.453,0
157.31,5.01,4.91,5.0,5.03,8.35,2102.9,8.35,8.69,33.95,40.63,38.1,29.82,0.4817,0.8542,101.54,1.539,0
155.0,4.85,5.06,5.02,5.06,8.25,2094.0,8.4,8.46,34.66,40.78,37.23,30.4,0.5253,0.8537,100.32,1.402,0
155.14,4.85,4.78,4.97,5.12,7.91,2001.9,8.53,8.43,34.84,39.59,37.26,29.73,0.4961,0.8593,98.61,1.52,0
156.69,5.03,4.99,4.95,5.08,7.61,2118.2,8.5,8.47,35.36,39.38,38.15,29.39,0.5534,0.8488,100.14,1.488,0
156.32,5.04,5.07,4.98,4.96,8.25,2083.0,8.71,8.62,33.98,40.47,38.21,30.21,0.5362,0.8502,98.52,1.6,0
153.58,5.03,4.87,5.05,4.98,7.89,2111.0,8.57,8.79,35.36,39.34,37.32,30.06,0.5249,0.8657,99.66,1.52,0
154.0,4.91,4.99,4.91,4.9,8.01,2160.4,8.44,8.59,35.23,40.03,38.04,29.8,0.5614,0.8574,100.15,1.487,0
156.21,5.1,5.13,4.81,4.91,7.87,2110.7,8.33,8.31,35.13,40.43,37.1,29.94,0.5143,0.8681,101.44,1.424,0
155.6,4.98,5.12,4.9,4.83,8.19,2038.5,8.84,8.46,34.95,39.54,37.56,29.65,0.5466,0.8511,98.64,1.449,0
154.5,4.95,4.99,4.97,5.03,7.99,2008.7,8.59,8.56,34.62,40.1,37.78,30.48,0.5535,0.8492,100.13,1.441,0
156.11,4.88,4.93,4.81,4.85,8.03,2146.6,8.52,8.79,35.43,39.85,38.29,29.74,0.4953,0.8695,99.57,1.536,0
156.11,4.88,5.03,4.76,4.89,7.52,2008.0,8.31,8.63,34.76,40.25,38.26,29.79,0.4988,0.8797,100.9,1.554,0
155.2,5.23,4.94,5.1,4.79,8.08,2093.6,8.63,8.33,35.56,41.13,37.55,30.62,0.4992,0.8717,100.29,1.525,0
153.42,4.73,5.11,4.98,5.11,7.95,2144.2,8.47,8.88,34.68,39.89,38.22,30.49,0.5335,0.8583,100.29,1.56,0
156.26,5.07,4.81,5.02,5.0,8.02,2104.3,8.5,8.36,35.39,39.62,37.14,30.19,0.5239,0.8614,98.69,1.452,0
157.57,4.9,4.98,5.28,4.92,7.77,2183.6,8.46,8.28,35.32,38.94,38.4,30.02,0.5483,0.8441,99.73,1.516,0
154.6,4.92,4.98,5.04,4.96,8.43,2110.2,9.03,8.45,35.43,39.87,38.3,30.47,0.4891,0.8492,98.35,1.477,0
151.87,5.1,4.8,4.9,5.12,8.46,2146.4,8.54,8.42,34.91,40.02,37.49,30.2,0.5153,0.8297,99.64,1.498,0
158.67,4.97,4.87,5.06,5.12,8.01,2149.8,8.4,8.23,33.96,39.62,38.08,30.3,0.5202,0.8521,99.52,1.536,0
154.74,4.99,5.04,5.01,5.0,8.31,2037.0,8.51,8.46,34.73,39.65,38.88,30.08,0.5062,0.8643,100.19,1.492,0
156.88,4.9,4.97,5.18,4.92,8.31,2174.9,8.55,8.4,35.35,40.42,37.82,29.93,0.5272,0.8784,100.93,1.422,0
158.66,4.95,4.92,5.16,4.91,8.18,2117.0,8.48,8.74,34.55,39.89,38.55,29.74,0.4971,0.8627,100.77,1.553,0
156.77,5.15,5.03,5.03,4.96,8.07,2156.2,8.34,8.31,34.95,40.01,38.01,30.17,0.5624,0.8714,99.86,1.54,0
154.03,4.94,5.15,5.01,4.77,8.39,2086.1,8.56,8.6,33.67,40.19,38.44,30.25,0.5472,0.873,100.2,1.468,0
156.82,5.17,5.05,5.09,5.18,7.75,2105.6,8.39,8.59,35.15,40.41,38.42,29.81,0.5121,0.8743,100.79,1.502,0
152.7,5.0,4.81,4.8,5.03,8.04,2047.6,8.56,8.43,34.46,40.23,38.51,29.86,0.5301,0.8496,101.32,1.434,0
154.1,4.92,5.15,5.11,4.95,8.13,2107.3,8.31,8.14,35.53,40.24,37.99,29.99,0.4838,0.8522,98.63,1.487,0
154.18,5.03,4.92,4.98,5.0,8.35,2056.2,8.1,8.62,35.01,39.82,38.08,30.0,0.5163,0.8656,101.82,1.585,0
155.87,5.04,4.91,5.11,4.85,7.9,2216.1,8.53,8.44,34.25,40.07,38.09,30.19,0.4963,0.8623,101.23,1.521,0
154.81,4.99,5.05,5.16,4.78,8.41,2131.5,8.81,8.45,35.29,39.01,37.82,29.82,0.5006,0.8572,100.32,1.551,0
159.98,4.92,4.99,4.97,5.06,8.39,2092.1,8.58,7.96,35.08,39.7,38.03,30.3,0.4919,0.881,101.55,1.445,0
152.97,4.9,5.05,5.03,5.03,8.13,2082.1,8.43,8.01,34.92,39.92,38.07,30.06,0.5164,0.8523,99.43,1.492,0
156.77,5.06,5.06,4.87,5.1,7.65,2157.1,8.62,8.37,34.89,40.12,37.84,30.29,0.5001,0.8667,98.69,1.367,0
157.43,5.12,5.02,4.98,4.91,7.89,2197.3,8.57,8.39,34.53,40.59,38.17,30.45,0.5312,0.8626,99.05,1.571,0
158.01,5.06,5.21,5.13,4.91,7.36,2106.8,8.35,8.44,34.44,40.03,37.72,29.55,0.5391,0.8722,100.06,1.508,0
154.12,5.01,5.23,5.03,5.09,7.76,2183.6,8.46,8.73,35.79,39.57,38.42,30.24,0.5188,0.8635,100.71,1.449,0
157.06,5.05,4.96,5.15,4.99,8.07,2158.2,8.42,8.67,35.45,39.92,38.04,30.04,0.5414,0.8531,101.24,1.497,0
155.3,5.16,4.98,5.04,4.92,8.28,2040.9,8.71,8.83,34.71,38.83,38.14,30.56,0.5244,0.8685,99.72,1.595,0
157.17,4.84,5.06,4.86,5.07,8.07,2055.9,8.11,8.39,35.33,39.94,37.57,30.49,0.4952,0.8683,101.34,1.52,0
155.61,5.06,4.85,5.1,5.01,8.38,2026.9,8.19,8.46,34.57,39.99,38.18,29.72,0.5324,0.8807,99.91,1.482,0
155.96,5.09,5.15,4.97,4.88,8.06,2154.3,8.6,8.54,34.38,39.36,38.17,29.78,0.5627,0.8593,99.07,1.425,0
154.88,5.06,4.97,5.03,5.0,8.22,2085.4,8.79,8.73,34.52,39.65,37.78,30.33,0.5027,0.8523,99.65,1.403,0
152.07,4.94,4.97,5.07,4.82,8.21,2019.4,8.49,8.69,34.64,39.43,38.43,30.17,0.4774,0.8532,99.29,1.447,0
157.02,5.07,5.04,5.08,4.99,8.3,2136.1,8.56,8.84,35.49,40.08,38.16,29.93,0.5467,0.8557,99.51,1.539,0
155.49,4.99,5.0,5.02,5.0,7.95,2146.3,8.54,8.49,35.38,39.92,38.25,29.58,0.4999,0.8614,99.86,1.521,0
152.15,4.93,5.0,4.87,5.02,8.46,2235.0,8.43,8.3,34.14,39.91,37.94,29.74,0.5035,0.8541,101.03,1.545,0
157.89,5.04,5.1,5.15,4.9,8.07,2035.5,8.67,8.57,35.13,39.9,38.24,30.13,0.5177,0.8662,101.26,1.557,0
157.65,5.1,5.07,5.07,5.03,8.29,2125.9,8.58,8.82,34.5,40.09,37.75,29.59,0.5174,0.8687,101.0,1.521,0
157.16,5.05,4.96,4.9,5.23,8.63,2098.0,8.97,8.88,34.57,40.62,38.7,29.79,0.5366,0.8625,99.96,1.569,0
159.14,5.07,5.06,4.93,4.85,8.47,2141.1,8.66,8.63,35.2,40.14,38.47,29.66,0.5197,0.866,100.46,1.491,0
154.4,4.96,5.14,4.91,4.95,7.94,2079.0,8.75,8.46,34.43,40.15,37.9,30.12,0.526,0.8577,98.52,1.498,0
154.04,5.03,5.03,5.06,4.97,7.87,2052.4,8.25,8.53,34.56,40.11,38.01,30.08,0.5386,0.8757,99.53,1.455,0
158.63,5.12,5.03,5.07,4.88,8.12,2103.3,8.84,8.45,34.73,40.64,37.84,29.4,0.5063,0.8734,99.32,1.435,0
153.2,4.99,4.96,4.94,5.12,7.4,2078.8,8.48,8.29,34.87,40.38,37.96,29.62,0.5294,0.848,99.43,1.55,0
155.11,4.74,4.97,5.01,4.96,7.61,2087.7,8.47,8.4,34.79,40.54,38.05,30.09,0.5306,0.8667,99.54,1.45,0
156.23,5.1,4.98,5.02,5.02,7.64,2079.9,7.88,8.67,34.88,39.91,37.88,30.17,0.5105,0.8734,99.4,1.524,1
155.51,4.91,5.0,4.97,4.92,8.19,2109.9,8.45,8.43,34.86,39.97,38.39,30.32,0.5285,0.8657,100.44,1.523,0
155.22,4.87,5.05,4.92,4.96,8.45,2079.0,8.3,8.7,34.95,40.1,37.69,29.64,0.5021,0.8519,100.09,1.457,0
154.92,4.83,4.98,4.85,5.02,7.74,2129.5,8.51,8.77,34.98,39.56,38.0,29.91,0.5225,0.8608,99.48,1.488,0
152.84,5.08,5.03,5.03,5.02,7.96,2062.6,8.28,8.27,35.53,38.93,37.6,30.39,0.515,0.8493,99.82,1.498,0
155.38,4.91,5.1,5.04,4.99,7.84,2133.9,8.59,8.35,35.29,39.81,38.52,29.79,0.4916,0.8561,99.01,1.691,0
159.27,4.93,4.85,4.93,4.96,8.37,2061.8,8.44,8.49,34.27,40.91,38.47,30.56,0.5243,0.8632,100.55,1.536,0
154.54,4.82,4.9,5.22,5.02,7.65,2158.2,8.7,8.46,35.72,38.96,37.75,30.0,0.5203,0.8497,101.33,1.459,0
155.15,5.2,5.01,5.06,5.13,8.2,2090.5,8.38,8.53,35.78,40.39,38.21,30.19,0.5274,0.8627,99.07,1.609,0
156.47,5.06,4.96,5.14,4.91,7.96,2160.2,8.56,8.32,35.2,40.26,38.42,30.4,0.5296,0.859,100.4,1.425,0
153.14,4.93,5.16,5.03,4.84,7.61,2126.3,8.45,8.35,35.66,40.88,37.64,30.38,0.5326,0.8274,99.05,1.478,0
153.57,5.02,4.93,4.86,5.13,7.82,2145.0,8.14,8.34,34.75,39.95,37.81,29.5,0.5192,0.8732,99.77,1.437,0
154.96,4.88,4.91,5.02,5.16,7.55,2140.8,8.13,8.46,34.53,39.59,38.14,30.23,0.5269,0.8687,100.52,1.533,0
158.4,5.13,4.93,4.94,5.11,7.71,2061.4,8.56,8.76,35.06,39.57,38.49,30.69,0.5026,0.8811,100.73,1.558,0
152.62,4.95,5.13,5.01,5.16,7.69,2123.4,8.31,8.48,35.12,39.75,38.51,30.3,0.5242,0.8659,99.56,1.534,0
151.63,5.01,5.11,5.16,5.03,8.19,2081.0,8.43,8.56,34.23,39.39,37.92,29.8,0.5275,0.8448,99.33,1.48,0
155.88,4.95,5.09,4.91,4.93,8.21,2107.6,8.26,8.68,35.4,40.82,37.48,30.03,0.502,0.8637,102.62,1.482,0
155.38,5.05,5.13,5.02,5.06,8.21,2012.0,8.49,8.61,34.14,40.09,38.34,29.18,0.548,0.8657,100.01,1.494,0
151.87,5.07,4.91,5.07,5.2,8.17,2099.8,8.6,8.4,34.42,40.41,38.62,30.04,0.5128,0.836,100.56,1.438,0
152.58,5.09,4.84,5.02,5.07,8.02,2058.7,8.47,8.49,34.83,39.98,37.73,29.79,0.5801,0.8511,99.83,1.47,1
152.8,4.99,4.85,4.92,5.13,8.33,2154.6,8.36,8.39,34.32,39.78,38.53,30.05,0.5512,0.8761,100.49,1.45,0
154.14,4.93,5.17,5.01,5.07,8.22,2075.3,8.68,8.2,35.27,39.43,37.64,29.86,0.5085,0.8701,100.26,1.501,0
155.96,4.98,5.02,5.06,4.96,7.36,2127.6,8.71,8.7,35.49,39.52,38.66,30.29,0.5241,0.8627,98.42,1.492,0
152.83,4.96,4.84,4.83,4.97,8.57,2141.8,8.4,8.13,35.27,40.5,37.95,29.73,0.5039,0.8638,100.52,1.517,0
155.42,5.05,5.02,5.1,5.06,8.04,2113.1,8.57,8.53,34.48,40.4,37.94,29.94,0.5336,0.875,99.29,1.414,0
154.51,5.03,5.09,5.01,5.07,7.76,2232.9,8.58,8.41,35.91,39.93,38.0,29.92,0.5202,0.8647,100.07,1.557,0
155.75,4.92,4.84,4.99,4.81,8.27,2082.7,8.77,8.56,34.84,40.14,38.63,29.88,0.5173,0.8641,101.22,1.364,0
153.58,4.9,4.89,5.06,4.92,7.59,2059.6,8.61,8.52,34.86,40.32,38.59,29.5,0.4997,0.85,102.43,1.541,0
155.09,5.16,4.99,4.93,4.97,8.43,2039.5,8.49,8.37,34.99,40.83,38.25,29.94,0.5138,0.8543,99.34,1.53,0
156.72,5.09,4.88,5.0,4.79,7.55,2035.5,8.29,8.82,34.89,39.6,37.96,30.15,0.4972,0.8591,101.38,1.658,0
157.76,5.13,5.0,4.92,5.02,8.38,2125.4,8.49,8.5,34.31,39.92,38.21,29.58,0.5298,0.8615,100.46,1.492,0
153.97,4.91,5.3,4.94,4.97,7.7,2142.7,8.19,8.71,34.92,40.15,38.11,29.88,0.5174,0.8435,100.16,1.514,0
156.33,5.0,5.11,4.99,4.98,7.99,2078.6,8.91,8.36,35.35,40.28,38.47,29.67,0.5022,0.8654,100.61,1.44,0
157.16,5.04,5.02,5.06,4.88,7.81,2163.8,8.46,8.54,34.96,40.7,37.98,30.0,0.523,0.8395,99.99,1.421,0
157.44,5.07,4.88,5.06,5.09,8.17,2117.1,8.27,8.44,36.11,39.59,38.05,29.98,0.5184,0.8631,99.97,1.462,0
155.72,5.03,4.98,5.12,5.11,7.67,2130.4,8.46,8.61,35.92,41.1,38.32,30.25,0.5307,0.8554,98.9,1.555,0
159.12,4.98,5.1,5.02,4.98,7.97,2041.1,8.81,8.76,34.75,40.09,37.58,30.51,0.5411,0.8736,99.91,1.556,0
153.99,5.14,4.88,5.06,4.97,7.69,2112.0,8.66,8.23,35.81,39.4,38.46,30.14,0.5265,0.8614,99.55,1.424,0
156.2,4.95,5.02,5.24,4.87,7.62,2073.8,8.58,8.73,34.73,39.25,38.32,29.97,0.5432,0.878,99.87,1.53,0
155.04,4.92,5.09,5.08,5.12,7.72,2099.7,8.11,8.67,35.42,39.22,37.51,29.77,0.5033,0.8732,100.94,1.591,0
154.25,5.0,5.0,5.05,4.83,7.9,2173.9,8.05,8.4,35.56,39.46,37.45,30.45,0.4862,0.8735,99.78,1.456,0
157.4,4.83,5.05,5.16,4.87,8.9,2106.2,8.54,8.52,34.86,40.21,37.98,29.97,0.5312,0.8417,99.36,1.441,0
154.39,5.07,5.11,5.07,4.93,7.68,2119.5,8.41,8.38,35.38,40.43,38.41,30.02,0.534,0.8528,100.46,1.46,0
156.05,5.07,4.97,5.01,5.03,7.95,2098.1,8.64,8.39,33.89,40.36,38.57,29.81,0.4989,0.8714,99.67,1.568,0
151.73,5.03,5.05,4.85,4.95,8.28,2075.1,8.46,8.29,35.09,39.93,38.01,29.89,0.4994,0.8543,100.23,1.482,0
155.56,4.94,5.19,4.98,5.04,7.82,2068.9,8.42,8.48,35.6,40.19,38.22,29.75,0.5181,0.8397,100.31,1.516,0
152.44,4.99,5.0,5.01,4.9,7.12,2230.5,8.64,8.39,34.13,39.76,38.61,29.95,0.521,0.8701,98.72,1.535,0
161.14,5.04,5.1,5.04,4.95,7.94,2155.2,8.75,8.44,35.36,39.8,38.31,30.05,0.4969,0.8654,99.48,1.567,0
155.03,4.97,4.92,5.06,5.1,7.86,2100.0,8.3,8.4,34.94,40.19,38.37,29.75,0.5086,0.875,101.03,1.556,0
155.84,4.76,5.1,5.17,5.03,7.66,2107.6,8.01,8.72,35.38,39.84,38.4,30.24,0.5474,0.8668,99.71,1.506,0
152.99,4.94,5.1,5.21,4.75,7.94,2126.5,8.46,8.31,34.76,40.61,37.69,30.13,0.5234,0.8591,99.14,1.485,0
153.59,4.89,5.08,4.98,4.94,8.4,2165.2,8.77,8.49,35.67,40.11,37.32,29.94,0.5291,0.8537,99.64,1.486,0
150.86,5.23,4.71,5.13,5.0,8.1,2070.8,8.37,8.68,35.7,39.86,38.18,29.89,0.4925,0.8528,101.32,1.487,1
157.09,5.19,4.92,5.05,4.94,7.7,2115.3,8.03,8.61,34.55,39.58,37.77,30.42,0.5311,0.8637,100.45,1.516,0
155.0,5.05,5.0,5.04,4.95,7.83,2092.8,8.24,8.66,34.83,39.25,38.53,30.05,0.5259,0.8732,98.96,1.437,0
153.25,5.1,5.01,5.08,4.99,7.52,2139.4,8.32,8.72,35.31,40.01,37.76,30.34,0.5579,0.8626,101.41,1.484,0
157.68,5.25,5.19,5.13,5.03,7.91,2071.5,8.47,8.69,35.36,39.16,38.06,29.96,0.523,0.8563,101.44,1.507,0
153.54,4.91,4.99,4.91,4.96,8.1,2174.2,8.32,8.31,34.92,39.54,38.13,29.87,0.5098,0.8616,100.61,1.455,0
154.6,5.03,4.85,5.09,4.93,8.19,2141.8,8.8,8.29,35.05,40.09,38.54,30.0,0.5179,0.8435,101.9,1.549,0
155.16,5.15,4.79,5.1,4.98,8.26,2146.0,8.81,8.66,34.33,40.43,38.33,29.66,0.4963,0.8818,99.7,1.476,0
155.45,5.28,5.0,5.04,4.92,8.15,2188.2,8.53,8.49,34.76,39.52,38.52,29.56,0.511,0.8628,98.33,1.496,0
153.62,4.96,4.82,4.98,5.17,7.7,2098.6,8.31,8.36,35.02,40.07,37.77,30.04,0.5212,0.8673,100.23,1.545,0
153.52,4.89,4.98,4.94,5.1,7.9,2168.5,8.74,8.28,34.49,39.58,38.18,30.11,0.549,0.8433,100.17,1.499,0
156.9,5.01,5.03,5.06,4.88,7.26,2067.1,8.76,8.77,35.5,39.74,37.02,29.99,0.5197,0.8541,99.83,1.444,0
152.88,5.02,5.0,5.07,4.88,7.96,2097.7,8.8,8.58,35.05,41.07,37.67,29.91,0.5328,0.8722,100.2,1.587,0
153.15,5.0,5.14,5.09,5.04,8.19,2142.5,8.89,8.69,35.71,39.14,38.07,30.1,0.5551,0.8772,100.78,1.616,0
154.23,5.11,5.04,5.0,4.94,7.81,2098.0,8.57,8.71,35.93,39.2,37.55,30.35,0.5365,0.8655,100.73,1.466,0
154.6,4.86,4.94,4.91,5.05,7.79,2060.0,8.59,8.2,35.1,39.99,38.5,29.62,0.5174,0.8598,100.46,1.521,0
154.66,5.08,4.89,5.0,4.95,8.03,2111.5,8.78,8.81,35.48,39.67,38.19,29.75,0.517,0.8549,100.05,1.533,0
155.03,4.97,5.09,5.05,5.0,8.11,2141.6,8.29,8.51,34.63,39.85,37.92,30.0,0.5322,0.8601,99.94,1.537,0
156.37,4.93,5.08,5.08,5.15,7.78,2109.2,8.62,8.63,35.39,40.78,38.09,30.17,0.5281,0.875,100.98,1.516,0
155.96,4.99,4.99,5.19,4.84,7.95,2098.8,8.31,8.82,34.64,40.05,37.52,30.16,0.5438,0.8548,99.72,1.49,0
154.38,4.96,4.89,4.95,5.07,8.02,2094.4,8.34,8.16,36.12,39.09,38.43,29.83,0.5465,0.8459,100.25,1.449,0
153.96,4.94,4.91,5.09,5.01,7.85,2087.5,8.58,8.74,35.08,40.72,38.26,30.14,0.5356,0.8438,99.79,1.568,0
155.42,4.9,4.94,5.04,4.87,7.45,2090.5,8.21,8.44,35.15,41.13,38.19,29.95,0.507,0.8554,99.36,1.467,0
152.59,5.14,4.98,5.03,4.74,8.39,2095.9,8.65,8.42,34.48,40.43,38.15,29.58,0.5703,0.8762,99.13,1.548,1
155.05,5.06,5.0,5.07,5.16,7.72,2187.3,8.6,8.64,35.19,40.87,38.74,30.09,0.5526,0.8571,101.46,1.437,0
156.48,5.07,5.12,4.92,5.14,7.32,2166.8,8.65,8.05,35.06,39.54,38.04,29.79,0.5371,0.8673,99.3,1.544,0
156.67,5.06,4.94,4.91,4.81,7.2,2074.8,8.55,8.55,35.08,40.25,38.24,30.2,0.5085,0.8522,100.55,1.474,0
153.55,4.87,4.98,5.05,4.99,8.16,2125.9,8.14,8.59,35.05,40.48,38.43,30.12,0.5231,0.8417,100.43,1.462,0
152.4,5.23,4.91,5.05,4.92,8.36,2073.4,8.64,8.06,35.35,39.45,37.89,29.93,0.5297,0.8591,98.96,1.493,0
152.73,5.19,5.02,5.03,4.86,8.27,2194.3,8.51,8.81,35.02,40.16,37.45,29.93,0.5437,0.8378,100.4,1.472,0
154.01,5.11,5.09,5.05,4.99,8.45,2073.5,8.7,8.66,35.44,40.36,37.89,29.6,0.5034,0.8555,100.79,1.543,0
156.19,4.96,4.83,4.94,5.05,7.61,2053.6,8.2,8.31,34.91,40.12,38.32,29.6,0.5299,0.8635,100.0,1.5,0
154.15,5.02,5.09,5.04,5.11,8.1,2129.4,8.51,8.65,34.68,39.37,38.16,29.48,0.5461,0.8582,101.12,1.608,0
153.84,4.84,4.86,5.05,4.93,8.03,2062.2,8.67,8.41,34.84,39.56,38.34,30.0,0.5195,0.8555,99.84,1.44,0
153.84,5.05,4.87,5.11,5.13,8.09,2101.7,8.42,8.28,35.08,40.02,38.15,29.59,0.5064,0.8615,99.93,1.456,0
153.42,5.1,5.06,5.12,5.12,7.88,2048.0,8.79,9.08,35.72,41.02,38.19,30.1,0.5075,0.8672,100.87,1.457,0
157.14,5.07,5.01,5.05,5.02,8.07,2160.7,8.58,8.63,34.83,39.69,37.25,29.89,0.5085,0.8618,98.39,1.517,0
154.0,4.95,5.04,5.04,5.02,8.08,2081.2,8.36,8.09,35.12,39.61,38.1,29.92,0.5175,0.8643,99.69,1.568,0
156.79,5.1,5.08,4.86,5.02,7.95,2042.0,8.82,8.37,33.99,39.72,37.88,29.66,0.5094,0.8552,100.38,1.53,0
154.03,5.08,5.01,4.97,5.05,7.61,2138.8,8.42,8.13,35.11,39.65,37.71,30.14,0.544,0.8355,101.06,1.432,0
155.17,5.06,5.0,5.0,4.86,8.39,2118.9,8.26,8.38,34.56,39.65,38.25,30.33,0.5346,0.8418,100.16,1.542,0
